title,genre,theme,budget,revenue
Shadow Strike,Action,Revenge,60,320
Iron Justice,Action,Police,70,300
Midnight Heist,Crime,Heist,50,210
Deep Harbor,Thriller,Crime,45,180
Dragon Realm,Fantasy,Adventure,120,500
Last Laugh,Comedy,Family,20,90
Urban Pursuit,Action,Police,55,230
Silent Witness,Thriller,Mystery,40,160
Cosmic Voyage,SciFi,Exploration,110,480
Broken Oath,Drama,Justice,30,100
Wicked Crest,Romance,Revenge,150,426
Primal Blade,Romance,Redemption,135,305
Lost Fang,Drama,Crime,230,839
Lost Drift,Drama,Legacy,220,480
Velvet Echo,Drama,Sacrifice,145,309
Phantom Veil,Fantasy,Revenge,245,1686
Hidden Witness,Drama,Corruption,15,57
Velvet Strike,SciFi,Honor,240,1132
Steel Zenith,Romance,Honor,260,1112
Twisted Shard,Romance,Conspiracy,70,168
Velvet Tide,Comedy,Chaos,80,255
Savage Voyage,SciFi,Destiny,10,55
Hollow Witness,Action,Adventure,15,49
Thunder Pursuit,Adventure,Rebellion,115,625
Ancient Code,Fantasy,Chaos,70,425
Phantom Flux,Comedy,Obsession,205,844
Burning Crown,SciFi,Betrayal,215,1486
Cosmic Crown,Romance,Justice,130,345
Shadow Witness,Romance,Police,50,119
Rising Flux,Horror,Redemption,170,1369
Shattered Heist,Action,Friendship,170,1015
Last Gloom,Thriller,Adventure,225,942
Hidden Echo,Crime,Corruption,80,210
Deep Zenith,Fantasy,Destiny,180,788
Crimson Flux,Crime,Redemption,255,624
Steel Blade,Thriller,Exploration,230,1089
Midnight Laugh,Thriller,Rebellion,300,1252
Twisted Fury,Comedy,Mystery,140,722
Vivid Laugh,Romance,Crime,195,866
Eternal Storm,Adventure,Escape,200,1202
Steel Night,SciFi,Discovery,240,1547
Steel Spark,SciFi,Discovery,265,711
Shadow Dawn,Horror,Exploration,100,480
Savage Echo,Thriller,Discovery,255,1318
Toxic Crown,Comedy,War,185,1086
Eternal Pulse,Horror,Conspiracy,270,1069
Urban Witness,Action,Legacy,275,1172
Phantom Flux 645,Fantasy,Escape,250,669
Blazing Spark,Action,Betrayal,50,163
Velvet Crest,Thriller,Revenge,30,129
Neon Code,Horror,Transformation,25,204
Golden Zenith,Romance,Conspiracy,215,1057
Toxic Fang,Adventure,Rebellion,65,256
Vivid Fang,Drama,Destiny,230,837
Velvet Dawn,Horror,Identity,230,923
Deep Fang,Action,Discovery,140,607
Savage Pulse,Comedy,Obsession,75,372
Phantom Pursuit,Comedy,Heist,105,331
Frozen Edge,Adventure,War,50,180
Hidden Edge,Drama,Power,45,177
Primal Code,Horror,Revenge,90,529
Shadow Rift,Adventure,Freedom,45,287
Last Path,Crime,Redemption,285,726
Rogue Wrath,Fantasy,Destiny,95,442
Golden Zenith 228,SciFi,Crime,15,96
Primal Wrath,Action,Crime,225,1208
Fading Path,Horror,Betrayal,45,334
Urban Fang,Horror,Mystery,285,1148
Shattered Fury,Adventure,Sacrifice,100,628
Frozen Flux,Drama,Survival,175,364
Steel Code,Adventure,Exploration,235,909
Last Fury,Comedy,Sacrifice,150,678
Iron Nexus,Horror,Friendship,205,1540
Neon Path,Comedy,Identity,30,127
Twisted Pulse,SciFi,Redemption,295,1039
Vivid Drift,Adventure,Obsession,40,148
Hidden Tide,SciFi,Justice,160,509
Ancient Oath,SciFi,Escape,270,1867
Silent Reign,Crime,War,80,476
Eternal Abyss,Drama,Mystery,150,630
Wicked Forge,Comedy,Chaos,35,163
Lost Tide,Thriller,Redemption,240,1160
Dark Witness,Action,Betrayal,115,626
Burning Rift,Horror,Destiny,160,693
Shattered Realm,Thriller,Destiny,15,50
Eternal Wrath,Crime,Mystery,85,362
Shadow Strike 776,Action,Honor,200,648
Steel Drift,Fantasy,Transformation,10,56
Primal Crown,Romance,Corruption,290,1109
Phantom Path,Crime,Identity,220,507
Eternal Code,Horror,Justice,80,389
Eternal Heist,Action,Friendship,185,651
Broken Crest,Horror,Betrayal,70,409
Rising Strike,Thriller,Legacy,160,473
Fallen Spark,Fantasy,Mystery,205,1370
Shadow Oath,Horror,Freedom,210,1855
Lost Tide 214,SciFi,Honor,110,470
Ancient Storm,Crime,Sacrifice,235,962
Hidden Wrath,Fantasy,Mystery,160,699
Last Witness,SciFi,Identity,50,341
Hidden Witness 380,SciFi,Destiny,260,1430
Mystic Voyage,Fantasy,Adventure,205,715
Fallen Drift,SciFi,Freedom,65,224
Shadow Harbor,Action,Adventure,195,702
Mystic Blade,Horror,Friendship,270,1141
Dark Forge,Horror,Power,190,1497
Shadow Tide,Fantasy,Exploration,110,520
Scarlet Spark,Thriller,Adventure,105,312
Iron Bane,SciFi,Freedom,35,100
Shadow Path,Action,Power,60,207
Rogue Blade,Horror,Conspiracy,210,1887
Fallen Shard,Fantasy,Justice,35,148
Savage Wrath,Fantasy,Family,15,81
Last Echo,SciFi,Destiny,125,428
Eternal Siege,Romance,Discovery,260,684
Eternal Code 513,Comedy,Exploration,105,388
Scarlet Flux,Adventure,Exploration,50,241
Fallen Justice,Adventure,Legacy,120,378
Thunder Forge,Fantasy,Honor,235,1395
Hidden Fury,Action,Betrayal,95,539
Velvet Wrath,Horror,Crime,180,947
Shattered Abyss,Romance,Corruption,285,759
Mystic Shard,Fantasy,Freedom,245,1480
Dark Tide,Adventure,Escape,145,581
Thunder Strike,Thriller,Honor,25,96
Iron Gloom,Horror,Redemption,15,127
Broken Laugh,Action,Love,190,1020
Velvet Flux,Horror,Rebellion,215,1241
Savage Voyage 244,Horror,Betrayal,110,462
Velvet Shard,Adventure,Revenge,300,1060
Neon Flux,SciFi,Obsession,265,1433
Crystal Laugh,SciFi,Heist,60,142
Vivid Flame,Fantasy,Honor,240,1131
Dark Path,Crime,Chaos,130,704
Hollow Realm,Drama,Redemption,230,784
Fading Pursuit,Drama,Mystery,250,554
Last Crown,Thriller,Betrayal,190,608
Rising Path,Fantasy,Freedom,115,645
Vivid Forge,Drama,Chaos,170,422
Midnight Bane,Horror,Freedom,270,1532
Vivid Fury,Crime,Justice,100,439
Cosmic Crest,Thriller,Betrayal,75,343
Rising Pulse,Comedy,Friendship,55,291
Phantom Voyage,Adventure,Sacrifice,115,369
Mystic Code,Romance,Obsession,225,1070
Scarlet Forge,Action,Transformation,70,253
Frozen Wrath,Adventure,Heist,30,103
Fading Oath,Drama,Conspiracy,245,543
Thunder Wrath,Romance,Betrayal,85,214
Toxic Echo,Crime,Redemption,35,98
Mystic Nexus,Fantasy,Chaos,55,359
Dark Pursuit,Action,Identity,130,457
Crimson Veil,Crime,Honor,285,767
Neon Spark,Horror,Escape,145,1050
Iron Blade,Comedy,War,225,1056
Iron Abyss,Crime,Survival,195,728
Neon Reign,Action,Friendship,285,861
Crystal Nexus,Comedy,Corruption,205,1129
Fading Storm,Fantasy,Identity,265,1844
Rising Forge,Horror,War,100,827
Hidden Code,Romance,Discovery,190,663
Twisted Crest,Comedy,Obsession,200,1040
Rogue Reign,Adventure,Mystery,205,838
Midnight Harbor,Adventure,Friendship,110,503
Urban Fury,Fantasy,Love,10,42
Eternal Laugh,Drama,Love,265,1178
Crystal Witness,Comedy,Adventure,230,873
Shadow Shard,Drama,Chaos,35,72
Neon Heist,Thriller,Friendship,45,256
Frozen Path,SciFi,Conspiracy,105,636
Dark Rift,Comedy,Police,95,452
Silent Blade,Horror,Chaos,95,830
Rogue Veil,Horror,Love,155,1074
Velvet Realm,SciFi,Survival,185,881
Urban Reign,Action,Corruption,45,207
Shattered Forge,Romance,Crime,230,951
Broken Code,Romance,Discovery,100,312
Scarlet Voyage,Horror,Friendship,50,151
Wicked Wrath,Horror,Chaos,105,352
Golden Flux,Thriller,Legacy,185,849
Silent Spark,Comedy,Escape,295,1506
Urban Drift,Action,Redemption,125,392
Ancient Crown,Crime,Transformation,190,800
Toxic Laugh,Thriller,Love,20,106
Hidden Bane,Crime,Transformation,275,1135
Steel Spark 287,SciFi,Power,190,730
Hollow Blade,Comedy,Redemption,120,666
Blazing Night,Romance,Discovery,195,363
Shadow Wrath,Action,Crime,110,416
Burning Echo,Comedy,Mystery,65,328
Shattered Echo,Comedy,Exploration,90,487
Ancient Edge,Comedy,Friendship,60,232
Scarlet Abyss,Crime,Exploration,250,1436
Dragon Veil,Crime,Freedom,155,772
Midnight Echo,SciFi,Chaos,20,121
Fallen Heist,Adventure,Discovery,120,411
Crystal Tide,Horror,Identity,230,1051
Thunder Witness,Fantasy,Sacrifice,130,586
Steel Fury,Comedy,Sacrifice,210,451
Broken Zenith,Action,Rebellion,100,549
Neon Edge,Adventure,Identity,120,669
Broken Crown,Comedy,Crime,230,1255
Blazing Veil,Drama,Rebellion,55,141
Last Siege,SciFi,Friendship,140,358
Last Rift,Action,Heist,55,205
Wicked Crown,Romance,Destiny,205,472
Crystal Nexus 399,Horror,Heist,65,295
Crystal Rift,SciFi,War,265,1493
Broken Flux,Action,Betrayal,250,1440
Toxic Justice,SciFi,Exploration,80,304
Dark Nexus,Drama,Honor,150,375
